"canonicalName","DEGREE","Gene","id","MCODE_CLUSTER_ID","MCODE_SCORE","MCODE_TYPE","name","selected","shared name","Symbol"
"PAXBP1","3.0","94104","94104","0.0","0.0","","94104","false","94104","PAXBP1"
"TGS1","9.0","96764","96764","0.0","0.0","","96764","false","96764","TGS1"
"TRIM9","3.0","114088","114088","0.0","0.0","","114088","false","114088","TRIM9"
"CGAS","21.0","115004","115004","7.0","1.4210526315789473","Clustered","115004","false","115004","CGAS"
"TARS3","22.0","123283","123283","0.0","0.0","","123283","false","123283","TARS3"
"OCIAD2","2.0","132299","132299","0.0","0.0","","132299","false","132299","OCIAD2"
"FAM91A1","2.0","157769","157769","0.0","0.0","","157769","false","157769","FAM91A1"
"AGO3","27.0","192669","192669","0.0","0.0","","192669","false","192669","AGO3"
"HNRNPA3","39.0","220988","220988","9.0","1.5","Clustered","220988","false","220988","HNRNPA3"
"CNOT6L","23.0","246175","246175","4.0","4.090909090909091","Clustered","246175","false","246175","CNOT6L"
"BOD1L1","4.0","259282","259282","0.0","0.0","","259282","false","259282","BOD1L1"
"ANKRD52","8.0","283373","283373","0.0","0.0","","283373","false","283373","ANKRD52"
"CAVIN1","12.0","284119","284119","0.0","0.0","","284119","false","284119","CAVIN1"
"FRYL","4.0","285527","285527","0.0","0.0","","285527","false","285527","FRYL"
"FAM83H","10.0","286077","286077","5.0","2.047619047619048","Clustered","286077","false","286077","FAM83H"
"TUBB2B","41.0","347733","347733","4.0","4.090909090909091","Clustered","347733","false","347733","TUBB2B"
"MIA3","11.0","375056","375056","0.0","0.0","","375056","false","375056","MIA3"
"AGRN","25.0","375790","375790","0.0","0.0","","375790","false","375790","AGRN"
"RBM12B","3.0","389677","389677","0.0","0.0","","389677","false","389677","RBM12B"
"HSP90AB2P","4.0","391634","391634","0.0","0.0","","391634","false","391634","HSP90AB2P"
"ACACA","35.0","31","31","3.0","2.4347826086956523","Clustered","31","false","31","ACACA"
"ACAT1","29.0","38","38","1.0","7.3478260869565215","Clustered","38","false","38","ACAT1"
"ACTN4","36.0","81","81","9.0","1.5","Clustered","81","false","81","ACTN4"
"ACTN1","33.0","87","87","7.0","1.4210526315789473","Clustered","87","false","87","ACTN1"
"AP2A2","34.0","161","161","6.0","2.1","Clustered","161","false","161","AP2A2"
"AHCY","72.0","191","191","1.0","7.3478260869565215","Seed","191","false","191","AHCY"
"AHR","5.0","196","196","0.0","0.0","","196","false","196","AHR"
"CRYBG1","5.0","202","202","0.0","0.0","","202","false","202","CRYBG1"
"APLP2","1.0","334","334","0.0","0.0","","334","false","334","APLP2"
"APP","77.0","351","351","6.0","2.1","Clustered","351","false","351","APP"
"ARCN1","38.0","372","372","1.0","7.3478260869565215","Clustered","372","false","372","ARCN1"
"ATP5F1B","73.0","506","506","1.0","7.3478260869565215","Clustered","506","false","506","ATP5F1B"
"AXL","38.0","558","558","1.0","7.3478260869565215","Clustered","558","false","558","AXL"
"DST","13.0","667","667","0.0","0.0","","667","false","667","DST"
"CAD","84.0","790","790","4.0","4.090909090909091","Clustered","790","false","790","CAD"
"CALR","33.0","811","811","9.0","1.5","Seed","811","false","811","CALR"
"CALU","32.0","813","813","7.0","1.4210526315789473","Clustered","813","false","813","CALU"
"CAPN2","14.0","824","824","0.0","0.0","","824","false","824","CAPN2"
"CAPZA1","37.0","829","829","4.0","4.090909090909091","Clustered","829","false","829","CAPZA1"
"CAPZA2","40.0","830","830","4.0","4.090909090909091","Clustered","830","false","830","CAPZA2"
"CAPZB","129.0","832","832","1.0","7.3478260869565215","Clustered","832","false","832","CAPZB"
"CAV1","49.0","857","857","6.0","2.1","Clustered","857","false","857","CAV1"
"SERPINH1","19.0","871","871","0.0","0.0","","871","false","871","SERPINH1"
"CDK11B","11.0","984","984","0.0","0.0","","984","false","984","CDK11B"
"CDH2","9.0","1000","1000","0.0","0.0","","1000","false","1000","CDH2"
"CDH6","3.0","1004","1004","0.0","0.0","","1004","false","1004","CDH6"
"CLTC","93.0","1213","1213","1.0","7.3478260869565215","Clustered","1213","false","1213","CLTC"
"CNN3","9.0","1266","1266","0.0","0.0","","1266","false","1266","CNN3"
"CNP","9.0","1267","1267","0.0","0.0","","1267","false","1267","CNP"
"COPB1","33.0","1315","1315","6.0","2.1","Clustered","1315","false","1315","COPB1"
"CPD","5.0","1362","1362","0.0","0.0","","1362","false","1362","CPD"
"CRIP2","4.0","1397","1397","0.0","0.0","","1397","false","1397","CRIP2"
"CSNK2B","44.0","1460","1460","3.0","2.4347826086956523","Clustered","1460","false","1460","CSNK2B"
"CTNNA1","36.0","1495","1495","5.0","2.047619047619048","Clustered","1495","false","1495","CTNNA1"
"CTNNB1","62.0","1499","1499","5.0","2.047619047619048","Clustered","1499","false","1499","CTNNB1"
"CTPS1","63.0","1503","1503","1.0","7.3478260869565215","Clustered","1503","false","1503","CTPS1"
"CTSB","21.0","1508","1508","9.0","1.5","Clustered","1508","false","1508","CTSB"
"CTSZ","12.0","1522","1522","1.0","7.3478260869565215","Clustered","1522","false","1522","CTSZ"
"CYLD","136.0","1540","1540","1.0","7.3478260869565215","Clustered","1540","false","1540","CYLD"
"DARS1","48.0","1615","1615","4.0","4.090909090909091","Clustered","1615","false","1615","DARS1"
"DDX3X","61.0","1654","1654","0.0","0.0","","1654","false","1654","DDX3X"
"DHCR24","7.0","1718","1718","0.0","0.0","","1718","false","1718","DHCR24"
"DPYSL2","31.0","1808","1808","4.0","4.090909090909091","Clustered","1808","false","1808","DPYSL2"
"DPYSL3","4.0","1809","1809","0.0","0.0","","1809","false","1809","DPYSL3"
"DYRK1A","49.0","1859","1859","1.0","7.3478260869565215","Clustered","1859","false","1859","DYRK1A"
"EIF2S3","70.0","1968","1968","2.0","9.114285714285714","Clustered","1968","false","1968","EIF2S3"
"EIF4A2","59.0","1974","1974","2.0","9.114285714285714","Clustered","1974","false","1974","EIF4A2"
"EIF4G1","68.0","1981","1981","2.0","9.114285714285714","Clustered","1981","false","1981","EIF4G1"
"CTTN","39.0","2017","2017","9.0","1.5","Clustered","2017","false","2017","CTTN"
"EPRS1","61.0","2058","2058","1.0","7.3478260869565215","Clustered","2058","false","2058","EPRS1"
"EPS15","18.0","2060","2060","6.0","2.1","Clustered","2060","false","2060","EPS15"
"ERH","15.0","2079","2079","0.0","0.0","","2079","false","2079","ERH"
"ACSL3","43.0","2181","2181","1.0","7.3478260869565215","Clustered","2181","false","2181","ACSL3"
"FASN","45.0","2194","2194","4.0","4.090909090909091","Clustered","2194","false","2194","FASN"
"FBN1","7.0","2200","2200","0.0","0.0","","2200","false","2200","FBN1"
"FLG","4.0","2312","2312","0.0","0.0","","2312","false","2312","FLG"
"FTH1","12.0","2495","2495","0.0","0.0","","2495","false","2495","FTH1"
"GALK1","2.0","2584","2584","0.0","0.0","","2584","false","2584","GALK1"
"GARS1","53.0","2617","2617","1.0","7.3478260869565215","Clustered","2617","false","2617","GARS1"
"GFPT1","39.0","2673","2673","3.0","2.4347826086956523","Clustered","2673","false","2673","GFPT1"
"GLB1","8.0","2720","2720","0.0","0.0","","2720","false","2720","GLB1"
"GOLGB1","12.0","2804","2804","3.0","2.4347826086956523","Clustered","2804","false","2804","GOLGB1"
"GPS1","21.0","2873","2873","0.0","0.0","","2873","false","2873","GPS1"
"HARS1","16.0","3035","3035","7.0","1.4210526315789473","Clustered","3035","false","3035","HARS1"
"HDAC2","48.0","3066","3066","0.0","0.0","","3066","false","3066","HDAC2"
"PRMT1","94.0","3276","3276","8.0","2.8823529411764706","Clustered","3276","false","3276","PRMT1"
"DNAJA1","95.0","3301","3301","1.0","7.3478260869565215","Clustered","3301","false","3301","DNAJA1"
"HSPA6","83.0","3310","3310","3.0","2.4347826086956523","Clustered","3310","false","3310","HSPA6"
"HSP90AA1","109.0","3320","3320","1.0","7.3478260869565215","Clustered","3320","false","3320","HSP90AA1"
"HSPG2","11.0","3339","3339","0.0","0.0","","3339","false","3339","HSPG2"
"IARS1","63.0","3376","3376","1.0","7.3478260869565215","Clustered","3376","false","3376","IARS1"
"IGFBP7","3.0","3490","3490","0.0","0.0","","3490","false","3490","IGFBP7"
"IMPDH2","49.0","3615","3615","1.0","7.3478260869565215","Clustered","3615","false","3615","IMPDH2"
"EIF3E","39.0","3646","3646","2.0","9.114285714285714","Clustered","3646","false","3646","EIF3E"
"IRAK1","31.0","3654","3654","6.0","2.1","Clustered","3654","false","3654","IRAK1"
"KARS1","44.0","3735","3735","1.0","7.3478260869565215","Clustered","3735","false","3735","KARS1"
"KPNA1","52.0","3836","3836","8.0","2.8823529411764706","Clustered","3836","false","3836","KPNA1"
"KPNA3","21.0","3839","3839","11.0","1.0","Seed","3839","false","3839","KPNA3"
"LAMC1","15.0","3915","3915","0.0","0.0","","3915","false","3915","LAMC1"
