shcGAS-1/shGFP	shcGAS-2/shGFP	shGFP	shcGAS-1	shcGAS-2
0.631310751	0.641885558	78.5168	49.5685	50.3988
0.631322277	0.770692801	1326.5	837.449	1022.324
0.631575716	1.209747532	325.744	205.732	394.068
0.631586953	0.995557837	2143.1	1353.554	2133.58
0.631992632	0.839385307	408.269	258.023	342.695
0.633252368	0.442127716	50.3507	31.8847	22.26144
0.634870992	0.905330478	563.064	357.473	509.759
0.635184602	1.339438007	98.1543	62.3461	131.4716
0.635272938	0.895590558	615.452	390.98	551.193
0.635294805	0.925600216	18.99441	12.06705	17.58123
0.635946632	0.964117808	57.7278	36.7118	55.6564
0.636563896	1.003923507	576.525	366.995	578.787
0.636772438	0.735650121	150.9734	96.1357	111.0636
0.637548356	0.779483805	1302.571	830.452	1015.333
0.637569723	0.63298432	7194.57	4587.04	4554.05
0.638080123	1.191277329	18.09033	11.54308	21.5506
0.638430957	1.129103359	3189.46	2036.25	3601.23
0.638720356	0.786541472	334.093	213.392	262.778
0.639028133	0.899063782	346.714	221.56	311.718
0.64016284	0.839134858	96.7332	61.925	81.1722
0.640556279	1.060557934	2417.85	1548.769	2564.27
0.641409002	1.040981671	181.2176	116.2346	188.6442
0.641474257	1.385219417	2841.16	1822.531	3935.63
0.641562764	1.284485711	41.465	26.6024	53.2612
0.642206236	0.894293608	458.591	294.51	410.115
0.642733325	1.003750928	954.164	613.273	957.743
0.643072715	0.843550039	2051.02	1318.955	1730.138
0.643152104	1.250556548	349.925	225.055	437.601
0.643682458	0.864439918	241.518	155.4609	208.7778
0.64380996	0.799474619	124.9378	80.4362	99.8846
0.644133592	0.955157363	210.8752	135.8318	201.419
0.644251735	0.59003389	223.076	143.7171	131.6224
0.644307513	0.77031109	237.102	152.7666	182.6423
0.644337988	0.761157169	1290.045	831.225	981.927
0.644563486	0.800578659	13.33428	8.59479	10.67514
0.64478599	1.855179269	310.874	200.4472	576.727
0.644840275	1.357996196	18.88967	12.18082	25.6521
0.644888542	1.065005218	261.579	168.6893	278.583
0.645146709	1.089375992	732.266	472.419	797.713
0.645209121	1.08998471	540.214	348.551	588.825
0.64530724	1.036154677	137.3211	88.6143	142.2859
0.64537758	0.810931441	1100.971	710.542	892.812
0.645431278	0.768439954	1048.674	676.847	805.843
0.645556695	1.196278797	269.214	173.7929	322.055
0.645844764	0.940422869	9714.13	6273.82	9135.39
0.645895732	0.902153278	434.036	280.342	391.567
0.646150883	1.07736844	109.5563	70.7899	118.0325
0.646319309	0.932318734	75.8526	49.025	70.7188
0.646881409	0.661461311	2228.41	1441.517	1474.007
0.64702265	0.693218478	41.6293	26.9351	28.8582
0.647271774	1.016314058	312.859	202.5048	317.963
0.647533223	1.258045295	164.1332	106.2817	206.487
0.647738249	0.915307438	1683.43	1090.422	1540.856
0.6483528	0.49669856	122.1588	79.202	60.6761
0.648380238	1.320525372	1040.863	674.875	1374.486
0.649200487	1.219447906	67.416	43.7665	82.2103
0.649655485	0.799341184	271.396	176.3139	216.938
0.650060553	1.085967643	51.5252	33.4945	55.9547
0.650323595	0.91591395	556.097	361.643	509.337
0.650534399	1.283954089	888.943	578.288	1141.362
0.650595794	0.753324407	444.365	289.102	334.751
0.65063828	0.827448616	2131.51	1386.842	1763.715
0.651282748	0.737203031	434.263	282.828	320.14
0.651383609	1.463783626	81.3886	53.0152	119.1353
0.65143507	0.648289744	856.509	557.96	555.266
0.651588255	1.863543561	130.1397	84.7975	242.521
0.652000698	1.21413591	240.791	156.9959	292.353
0.652217823	0.784714088	35.9429	23.4426	28.2049
0.652439303	0.779688266	76.5075	49.9165	59.652
0.652984918	0.55922837	668.092	436.254	373.616
0.653617524	0.771121284	273.267	178.6121	210.722
0.65373296	0.667498749	411.818	269.219	274.888
0.65376553	0.710051269	2198.23	1437.127	1560.856
0.653858083	0.917281712	64.8055	42.3736	59.4449
0.654083296	1.104363031	149.2128	97.5976	164.7851
0.654318081	0.772042066	13.55	8.86601	10.46117
0.654765553	1.278435122	5417.42	3547.14	6925.82
0.654833268	0.854101302	541.828	354.807	462.776
0.65585698	0.464728189	131.2989	86.1133	61.0183
0.655888401	0.55041201	1514.282	993.2	833.479
0.656086188	0.894097774	355.781	233.423	318.103
0.656651596	1.119860687	359.192	235.864	402.245
0.65702306	1.007261988	134.8942	88.6286	135.8738
0.657158637	1.07295914	5015.41	3295.92	5381.33
0.657400933	1.339436491	872.39	573.51	1168.511
0.657477005	1.017616792	17.22334	11.32395	17.52676
0.657482574	1.362341944	996.796	655.376	1357.977
0.657502258	1.424507316	3254.62	2139.92	4636.23
0.657611106	1.105464953	423.828	278.714	468.527
0.657791389	0.79873919	1286.157	846.023	1027.304
0.657796267	0.919734964	985.074	647.978	906.007
0.65789765	1.019853713	133.6828	87.9496	136.3369
0.658380248	1.227385366	761.487	501.348	934.638
0.658698717	0.724748886	176.2645	116.1052	127.7475
0.658718587	1.43696975	100.2003	66.0038	143.9848
0.658950509	0.863621187	697.843	459.844	602.672
0.659291358	0.913643737	2965.39	1955.056	2709.31
0.659318482	0.948822779	16.34145	10.77422	15.50514
0.659357425	0.879938317	231.506	152.6452	203.711
0.65951841	0.7819542	148.8568	98.1738	116.3992
